
2025/04/12 (19:49:29) | ===> btop++ v.1.4.0
2025/04/12 (19:49:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/12 (21:12:47) | ===> btop++ v.1.4.0
2025/04/12 (21:12:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/12 (21:12:53) | ===> btop++ v.1.4.0
2025/04/12 (21:12:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/12 (22:19:23) | ===> btop++ v.1.4.0
2025/04/12 (22:19:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/13 (11:36:52) | ===> btop++ v.1.4.0
2025/04/13 (11:36:52) | WARNING: Intel GPU: Failed to initialize PMU
